id,Test Name,Request Command,Waiting Period,Unit,Request Command Description,Response,Response Description
6a04547227be22811320699c,Manual RTC Update,"?95,,#",1,min,This is Request Command,"$95,Factory St-ID, GPS Update Status, DD/MM/YY HH:MM, RTC Update status, #","(DD/MM/YY HH:MM) Last RTC updated Date and Time where, RTC Update status – 0 …success"
6a04547227be22811320699a,Manual Data Acquistion/poll,"?93,,#",1,min,NA,"$93,station id,19-12-2025 17:08:00,11.9,78.864,170.12345,C6,48,#","Return Data String station id, All sensors data,"
6a04547227be228113206988,Transmitter Test,"?64,N,S,#",1,min,"where, N = 0 – Enable plain carrier N = 1 – Modulation, N= 2 - PRBS where S = 0 -ON S = 1- OFF","$64,station id,S,#","Where, S = 0 – Transmitter test OK S = 1 – Transmitter test Not OK"
6a04547227be228113206950,Set Transmission Time,"?08,HH:MM:SS,#",1,min,NA,"$08,station id ,HH:MM:SS#","$08,00:10:02,#"
6a04547227be22811320699d,Erase Memory,"?96,,#",1,min,NA,"$96,station id, 1,#","$96,Factory (StationId), 1,#"
6a04547227be22811320694b,Restore Default Parameters,"?03,,#",1,min,NA,"$03,list of general parameters#","IIIIIIII, NNNNNNNNNNNNNNNN,HH:MM:SS,hh:mm:ss,AAAAAAAAAAAAAAAA,HHH…,KKK…,S, +91nnnnnnnnnn, +91nnnnnnnnnn,YY,HH:MM:SS (Station id, station name, Tx interval, measurement interval, APN , APN, Fast SMS check, admin cell no.1, admin cell no. 2s, sensor power on time, measurement start time) Max length = 8+1+16+1+8+1+8+1+31+1+31+1+1+1+13+1+13+1+2+1+8= 149 characters"
6a04547227be228113206952,Set measurement interval & sensor warm up time,"?10,HH:MM:SS,XX,#",1,min,"Allowed Measurement Intervals (HH:MM:SS):00:01:00, 00:05:00, 00:10:00, 00:15:00, 00:20:00, 00:30:00, 01:00:00, Allowed Values for Sensor Warm-up Time (XX):01, 02, 03, 04, 05, 10, 15, 20, 25, 30, 99 (99 = Always ON)","$10,list of general parameters#","IIIIIIII, NNNNNNNNNNNNNNNN,HH:MM:SS,hh:mm:ss,AAAAAAAAAAAAAAAA,HHH…,S, +91nnnnnnnnnn, +91nnnnnnnnnn,YY,HH:MM:SS (Station id, station name, Tx interval, measurement interval, APN , APN, Fast SMS check, admin cell no.1, admin cell no. 2s, sensor power on time, measurement start time) Max length = 8+1+16+1+8+1+8+1+31+1+31+1+1+1+13+1+13+1+2+1+8= 149 characters"
6a04547227be228113206985,Measurement Start Time,"?61,HH:MM:SS,#",1,min,,"$61,list of general parameters#","IIIIIIII, NNNNNNNNNNNNNNNN,HH:MM:SS,hh:mm:ss,AAAAAAAAAAAAAAAA,HHH…,S, +91nnnnnnnnnn, +91nnnnnnnnnn,YY,HH:MM:SS (Station id, station name, Tx interval, measurement interval, APN , APN, Fast SMS check, admin cell no.1, admin cell no. 2s, sensor power on time, measurement start time) Max length = 8+1+16+1+8+1+8+1+31+1+31+1+1+1+13+1+13+1+2+1+8= 149 characters"
6a04547227be22811320694a,Check Status,"?02,,#",1,min,Returns Status of GPRS and Peripheral Devices,"$02,C4,00,00,00,00,0,0,0,0,1,VERSION 1.0.2 ,#","$02,PP,GG,GG,GG,GG, F1, MT1, F2, MT2, CH, D. L Firmware Version# (Peripheral status, GPRS status of primary server, GPRS status of secondary server, GPRS status of third server, GPRS status of factory server) F1 – Memory 1 Fail Status (0 = OK, 1 = Not OK) MT1– Memory 1 Test Result (0 = OK, 1 = Not OK) F2 – Memory 2 Fail Status (0 = OK, 1 = Not OK) MT2 – Memory 2 Test Result (0 = OK, 1 = Not OK) CH – Battery Charging Status (0 = Charging ON, 1 = Charging OFF, 2 = Fault) DL Firmware Version – Indicates the latest Data Logger firmware version."
6a04547227be22811320694d,Set all general system parameters,"?05,List of all general system parameters,#",1,min,,"$05,ist of all general system parameters#","IIIIIIII, NNNNNNNNNNNNNNNN,HH:MM:SS,hh:mm:ss,AAAAAAAAAAAAAAAA,HHH…,S, +91nnnnnnnnnn, +91nnnnnnnnnn,YY,HH:MM:SS (Station id, station name, Tx interval, measurement interval, APN , APN, Fast SMS check, admin cell no.1, admin cell no. 2s, sensor power on time, measurement start time) Max length = 8+1+16+1+8+1+8+1+31+1+31+1+1+1+13+1+13+1+2+1+8= 149 characters"
